problem,problem_type
Phụng có 66 quả bóng xanh. Phụng sử dụng 1 quả bóng xanh. Hỏi Phụng còn bao nhiêu quả bóng xanh?,decrease
Anh giữ 63 viên bi. Anh bỏ đi 24 viên bi. Hỏi Anh còn bao nhiêu viên bi?,decrease
Hà sở hữu 21 dây tai nghe. Hà nhặt được 32 dây tai nghe nữa. Hỏi Hà có bao nhiêu dây tai nghe?,increase
Con cầm 77 cây viết. An cầm 55 cây viết. Con bán 41 cây viết cho An. Hỏi mỗi người có bao nhiêu cây viết?,change_out
Mẹ sở hữu 71 quả mận. Mẹ mua thêm 79 quả mận nữa. Hỏi Mẹ có bao nhiêu quả mận?,increase
Anh cầm 9 cái bánh. Anh tìm được 54 cái bánh nữa. Hỏi Anh có bao nhiêu cái bánh?,increase
Quân cầm 83 cái gối ôm. Xuân cầm 73 cái gối ôm. Quân gửi 28 cái gối ôm cho Xuân. Hỏi mỗi người có bao nhiêu cái gối ôm?,change_out
Phụng nắm 29 quả mận. Vũ nắm 8 quả mận. Phụng phân phát 5 quả mận cho Vũ. Hỏi mỗi người có bao nhiêu quả mận?,change_out
Quân giữ 22 quả chuối. Quân mang thêm 33 quả chuối nữa. Hỏi Quân có bao nhiêu quả chuối?,increase
An cầm 20 cái khẩu trang. Tuấn cầm 32 cái khẩu trang. An mua 69 cái khẩu trang từ Tuấn. Hỏi mỗi người có bao nhiêu cái khẩu trang?,change_in
Lan giữ 86 quả táo. Lan nhận thêm 49 quả táo nữa. Hỏi Lan có bao nhiêu quả táo?,increase
Long sở hữu 12 quả lê. An sở hữu 62 quả lê. Long gửi 8 quả lê cho An. Hỏi mỗi người có bao nhiêu quả lê?,change_out
Hà nắm 18 quyển truyện. Hà mua thêm 55 quyển truyện nữa. Hỏi Hà có bao nhiêu quyển truyện?,increase
Tôi nắm 40 cái quần trắng. Bố nắm 17 cái quần trắng. Tôi nhặt 44 cái quần trắng từ Bố. Hỏi mỗi người có bao nhiêu cái quần trắng?,change_in
Tuấn có 84 quyển sách. Lan có 28 quyển sách. Hỏi Tuấn và Lan có cùng nhau bao nhiêu quyển sách?,combine
Lan giữ 36 hộp bút vàng. Lan gửi đi 36 hộp bút vàng. Hỏi Lan còn bao nhiêu hộp bút vàng?,decrease
Vũ sở hữu 57 quả táo. Trung sở hữu 59 quả táo. Vũ hiến 12 quả táo cho Trung. Hỏi mỗi người có bao nhiêu quả táo?,change_out
Lan có 10 cái kẹo. Lan nhận thêm 18 cái kẹo nữa. Hỏi Lan có bao nhiêu cái kẹo?,increase
Bố nắm 29 quả táo. Lan nắm 49 quả táo. Bố hiến 16 quả táo cho Lan. Hỏi mỗi người có bao nhiêu quả táo?,change_out
Vũ có 14 cái gối ôm. Vũ bị mất 3 cái gối ôm. Hỏi Vũ còn bao nhiêu cái gối ôm?,decrease
Chị cầm 54 cây gậy. Chị bị mất 48 cây gậy. Hỏi Chị còn bao nhiêu cây gậy?,decrease
Quân sở hữu 94 quả táo. Quân mang thêm 87 quả táo nữa. Hỏi Quân có bao nhiêu quả táo?,increase
Thầy giữ 84 viên bi. Tuấn giữ 76 viên bi. Thầy mượn 46 viên bi từ Tuấn. Hỏi mỗi người có bao nhiêu viên bi?,change_in
Chị cầm 99 cái khẩu trang. Nga cầm 66 cái khẩu trang. Chị lấy 96 cái khẩu trang từ Nga. Hỏi mỗi người có bao nhiêu cái khẩu trang?,change_in
Hiếu nắm 59 quả táo. Quân nắm 56 quả táo. Hiếu ném 7 quả táo cho Quân. Hỏi mỗi người có bao nhiêu quả táo?,change_out
Hiếu sở hữu 14 quả mận. Mẹ sở hữu 90 quả mận. Hiếu nhận 74 quả mận từ Mẹ. Hỏi mỗi người có bao nhiêu quả mận?,change_in
Long cầm 69 quyển sách. Tuấn cầm 28 quyển sách. Long hiến 24 quyển sách cho Tuấn. Hỏi mỗi người có bao nhiêu quyển sách?,change_out
Vy cầm 36 dây tai nghe. Vy sử dụng 26 dây tai nghe. Hỏi Vy còn bao nhiêu dây tai nghe?,decrease
Con cầm 87 cái gối ôm. Hiếu cầm 83 cái gối ôm. Hỏi Con và Hiếu có tổng cộng bao nhiêu cái gối ôm?,combine
Quân cầm 72 cái vòng. Quân bỏ ra 61 cái vòng. Hỏi Quân còn bao nhiêu cái vòng?,decrease
Nga giữ 73 cái xe đỏ. Lan giữ 54 cái xe đỏ. Hỏi Nga và Lan có cùng nhau bao nhiêu cái xe đỏ?,combine
Chị sở hữu 62 cái lắc tay. Chị ăn mất 38 cái lắc tay. Hỏi Chị còn bao nhiêu cái lắc tay?,decrease
Bố cầm 40 cái xe đỏ. Lan cầm 72 cái xe đỏ. Hỏi Bố và Lan có tổng cộng bao nhiêu cái xe đỏ?,combine
Thầy cầm 20 quả lê. Lan cầm 6 quả lê. Hỏi Thầy và Lan có tất cả bao nhiêu quả lê?,combine
Vũ nắm 9 quyển truyện. Thầy nắm 29 quyển truyện. Hỏi Vũ và Thầy có cùng nhau bao nhiêu quyển truyện?,combine
Long nắm 25 cây viết. Long ăn mất 8 cây viết. Hỏi Long còn bao nhiêu cây viết?,decrease
Tôi có 36 hộp kẹo. Thầy có 43 hộp kẹo. Tôi nhặt 25 hộp kẹo từ Thầy. Hỏi mỗi người có bao nhiêu hộp kẹo?,change_in
Hà có 63 hộp kẹo. Thầy có 95 hộp kẹo. Hà cầm 6 hộp kẹo từ Thầy. Hỏi mỗi người có bao nhiêu hộp kẹo?,change_in
Con sở hữu 15 cái bàn phím. Thầy sở hữu 67 cái bàn phím. Hỏi Con và Thầy có cùng nhau bao nhiêu cái bàn phím?,combine
Lan nắm 58 cái kẹo. Lan mua thêm 61 cái kẹo nữa. Hỏi Lan có bao nhiêu cái kẹo?,increase
Lan giữ 20 dây tai nghe. Con giữ 54 dây tai nghe. Hỏi Lan và Con có cùng nhau bao nhiêu dây tai nghe?,combine
Tuấn cầm 8 quả mận. Tuấn tìm thấy 80 quả mận nữa. Hỏi Tuấn có bao nhiêu quả mận?,increase
An giữ 97 chiếc khăn phiêu. Hiếu giữ 28 chiếc khăn phiêu. An mua 10 chiếc khăn phiêu từ Hiếu. Hỏi mỗi người có bao nhiêu chiếc khăn phiêu?,change_in
Xuân cầm 6 quả chuối. Long cầm 35 quả chuối. Xuân hiến 4 quả chuối cho Long. Hỏi mỗi người có bao nhiêu quả chuối?,change_out
Trung nắm 44 cái khẩu trang. Trung mua thêm 51 cái khẩu trang nữa. Hỏi Trung có bao nhiêu cái khẩu trang?,increase
Lan sở hữu 54 quả táo. Lan đặt xuống 27 quả táo. Hỏi Lan còn bao nhiêu quả táo?,decrease
Lan nắm 10 quả táo. Tôi nắm 3 quả táo. Lan nhặt 84 quả táo từ Tôi. Hỏi mỗi người có bao nhiêu quả táo?,change_in
Tôi có 5 dây tai nghe. Tôi bỏ ra 2 dây tai nghe. Hỏi Tôi còn bao nhiêu dây tai nghe?,decrease
Nga nắm 65 chiếc khăn phiêu. Xuân nắm 74 chiếc khăn phiêu. Nga ném 11 chiếc khăn phiêu cho Xuân. Hỏi mỗi người có bao nhiêu chiếc khăn phiêu?,change_out
Lan giữ 21 chiếc khăn phiêu. Nga giữ 95 chiếc khăn phiêu. Lan mua 3 chiếc khăn phiêu từ Nga. Hỏi mỗi người có bao nhiêu chiếc khăn phiêu?,change_in
Hiếu cầm 41 quyển truyện. Tôi cầm 14 quyển truyện. Hiếu nhặt 98 quyển truyện từ Tôi. Hỏi mỗi người có bao nhiêu quyển truyện?,change_in
Hiếu giữ 32 quả lê. Mẹ giữ 51 quả lê. Hiếu hiến 13 quả lê cho Mẹ. Hỏi mỗi người có bao nhiêu quả lê?,change_out
Nga sở hữu 3 cái khẩu trang. Nga ném đi 1 cái khẩu trang. Hỏi Nga còn bao nhiêu cái khẩu trang?,decrease
Tôi nắm 24 chiếc khăn phiêu. Hà nắm 25 chiếc khăn phiêu. Tôi mượn 19 chiếc khăn phiêu từ Hà. Hỏi mỗi người có bao nhiêu chiếc khăn phiêu?,change_in
Xuân cầm 37 quả táo. Mẹ cầm 5 quả táo. Xuân đưa 5 quả táo cho Mẹ. Hỏi mỗi người có bao nhiêu quả táo?,change_out
Thầy có 60 cái quần trắng. Phụng có 61 cái quần trắng. Thầy nhặt 83 cái quần trắng từ Phụng. Hỏi mỗi người có bao nhiêu cái quần trắng?,change_in
Nga cầm 62 cây viết. Nga bị mất 62 cây viết. Hỏi Nga còn bao nhiêu cây viết?,decrease
Phụng giữ 63 dây tai nghe. Xuân giữ 68 dây tai nghe. Phụng tặng 28 dây tai nghe cho Xuân. Hỏi mỗi người có bao nhiêu dây tai nghe?,change_out
Quân cầm 22 cái bàn phím. An cầm 84 cái bàn phím. Quân giữ 2 cái bàn phím từ An. Hỏi mỗi người có bao nhiêu cái bàn phím?,change_in
Vũ giữ 49 quả táo. Thầy giữ 30 quả táo. Vũ mua 3 quả táo từ Thầy. Hỏi mỗi người có bao nhiêu quả táo?,change_in
Mẹ cầm 8 hộp bút vàng. Mẹ ăn mất 6 hộp bút vàng. Hỏi Mẹ còn bao nhiêu hộp bút vàng?,decrease
Anh có 27 cái bàn phím. Anh có thêm 50 cái bàn phím nữa. Hỏi Anh có bao nhiêu cái bàn phím?,increase
Tôi có 10 cái vòng. Vũ có 63 cái vòng. Tôi tặng 10 cái vòng cho Vũ. Hỏi mỗi người có bao nhiêu cái vòng?,change_out
Xuân sở hữu 38 cây viết. Xuân gửi đi 25 cây viết. Hỏi Xuân còn bao nhiêu cây viết?,decrease
Chị cầm 84 quyển truyện. Chị ném đi 12 quyển truyện. Hỏi Chị còn bao nhiêu quyển truyện?,decrease
Bố cầm 84 cái xe đỏ. Bố ăn mất 68 cái xe đỏ. Hỏi Bố còn bao nhiêu cái xe đỏ?,decrease
Trung giữ 14 quả chuối. Tôi giữ 31 quả chuối. Trung cầm 53 quả chuối từ Tôi. Hỏi mỗi người có bao nhiêu quả chuối?,change_in
Quân giữ 96 quyển sách. Bố giữ 20 quyển sách. Hỏi Quân và Bố có cùng nhau bao nhiêu quyển sách?,combine
Hà sở hữu 97 dây tai nghe. Hà bỏ đi 49 dây tai nghe. Hỏi Hà còn bao nhiêu dây tai nghe?,decrease
Bố cầm 94 cái xe đỏ. Hiếu cầm 60 cái xe đỏ. Bố tặng 43 cái xe đỏ cho Hiếu. Hỏi mỗi người có bao nhiêu cái xe đỏ?,change_out
Tuấn có 35 viên bi. Tuấn ném đi 7 viên bi. Hỏi Tuấn còn bao nhiêu viên bi?,decrease
Con nắm 62 viên bi. Con bị mất 42 viên bi. Hỏi Con còn bao nhiêu viên bi?,decrease
Anh cầm 95 quả lê. Long cầm 82 quả lê. Hỏi Anh và Long có tổng cộng bao nhiêu quả lê?,combine
Vũ sở hữu 87 quyển truyện. Vũ ăn mất 54 quyển truyện. Hỏi Vũ còn bao nhiêu quyển truyện?,decrease
Lan giữ 96 hộp kẹo. Lan tìm được 42 hộp kẹo nữa. Hỏi Lan có bao nhiêu hộp kẹo?,increase
Thầy nắm 90 cái xe đỏ. Thầy bỏ ra 54 cái xe đỏ. Hỏi Thầy còn bao nhiêu cái xe đỏ?,decrease
Hiếu cầm 80 cây gậy. Hà cầm 79 cây gậy. Hiếu gửi 35 cây gậy cho Hà. Hỏi mỗi người có bao nhiêu cây gậy?,change_out
Phụng giữ 11 cái lắc tay. Xuân giữ 9 cái lắc tay. Hỏi Phụng và Xuân có cùng nhau bao nhiêu cái lắc tay?,combine
Trung cầm 91 cái kẹo. Vy cầm 12 cái kẹo. Trung nhận 35 cái kẹo từ Vy. Hỏi mỗi người có bao nhiêu cái kẹo?,change_in
Hiếu nắm 47 cái bàn phím. Anh nắm 18 cái bàn phím. Hiếu phân phát 17 cái bàn phím cho Anh. Hỏi mỗi người có bao nhiêu cái bàn phím?,change_out
Long nắm 17 quả táo. Nga nắm 4 quả táo. Long lấy 12 quả táo từ Nga. Hỏi mỗi người có bao nhiêu quả táo?,change_in
Tuấn nắm 9 cái kẹo. Tuấn bán đi 5 cái kẹo. Hỏi Tuấn còn bao nhiêu cái kẹo?,decrease
Vũ cầm 64 quả chuối. Vũ bỏ ra 63 quả chuối. Hỏi Vũ còn bao nhiêu quả chuối?,decrease
Con nắm 24 cái bánh. Hà nắm 87 cái bánh. Hỏi Con và Hà có cùng nhau bao nhiêu cái bánh?,combine
Vy cầm 3 cái quần trắng. Long cầm 11 cái quần trắng. Hỏi Vy và Long có tổng cộng bao nhiêu cái quần trắng?,combine
Trung cầm 79 hộp kẹo. Trung có thêm 29 hộp kẹo nữa. Hỏi Trung có bao nhiêu hộp kẹo?,increase
Hà cầm 95 quả chuối. Bố cầm 91 quả chuối. Hà nhận 69 quả chuối từ Bố. Hỏi mỗi người có bao nhiêu quả chuối?,change_in
Bạn sở hữu 44 cái khẩu trang. Thầy sở hữu 35 cái khẩu trang. Bạn giữ 88 cái khẩu trang từ Thầy. Hỏi mỗi người có bao nhiêu cái khẩu trang?,change_in
Vy cầm 31 quả lê. Vũ cầm 44 quả lê. Vy giữ 41 quả lê từ Vũ. Hỏi mỗi người có bao nhiêu quả lê?,change_in
Phụng cầm 3 hộp kẹo. Con cầm 79 hộp kẹo. Hỏi Phụng và Con có cùng nhau bao nhiêu hộp kẹo?,combine
Quân cầm 95 quả táo. Quân đặt xuống 63 quả táo. Hỏi Quân còn bao nhiêu quả táo?,decrease
Hiếu sở hữu 44 viên bi. Hiếu sử dụng 21 viên bi. Hỏi Hiếu còn bao nhiêu viên bi?,decrease
Lan nắm 21 quả táo. Tôi nắm 21 quả táo. Lan ném 20 quả táo cho Tôi. Hỏi mỗi người có bao nhiêu quả táo?,change_out
Anh cầm 21 cái kẹo. Anh nhận thêm 60 cái kẹo nữa. Hỏi Anh có bao nhiêu cái kẹo?,increase
Anh cầm 86 cái xe đỏ. Vy cầm 30 cái xe đỏ. Hỏi Anh và Vy có cùng nhau bao nhiêu cái xe đỏ?,combine
Quân giữ 61 quả chuối. Quân nhận thêm 57 quả chuối nữa. Hỏi Quân có bao nhiêu quả chuối?,increase
Trung nắm 50 cái bàn phím. Bố nắm 96 cái bàn phím. Trung đưa 41 cái bàn phím cho Bố. Hỏi mỗi người có bao nhiêu cái bàn phím?,change_out
Vy sở hữu 96 cây gậy. Nga sở hữu 96 cây gậy. Vy giữ 53 cây gậy từ Nga. Hỏi mỗi người có bao nhiêu cây gậy?,change_in
Bố giữ 64 quả lê. Mẹ giữ 77 quả lê. Bố tặng 58 quả lê cho Mẹ. Hỏi mỗi người có bao nhiêu quả lê?,change_out
Lan sở hữu 29 cái gối ôm. Vy sở hữu 91 cái gối ôm. Lan bán 10 cái gối ôm cho Vy. Hỏi mỗi người có bao nhiêu cái gối ôm?,change_out
Phụng giữ 38 hộp kẹo. Xuân giữ 86 hộp kẹo. Phụng cầm 6 hộp kẹo từ Xuân. Hỏi mỗi người có bao nhiêu hộp kẹo?,change_in
Tuấn giữ 97 quyển truyện. Tuấn có thêm 30 quyển truyện nữa. Hỏi Tuấn có bao nhiêu quyển truyện?,increase
Hiếu nắm 98 cây thước. Nga nắm 88 cây thước. Hỏi Hiếu và Nga có tất cả bao nhiêu cây thước?,combine
Vũ giữ 89 viên bi. Hiếu giữ 86 viên bi. Vũ nhận 46 viên bi từ Hiếu. Hỏi mỗi người có bao nhiêu viên bi?,change_in
Phụng giữ 84 viên bi. Phụng ăn mất 13 viên bi. Hỏi Phụng còn bao nhiêu viên bi?,decrease
Tôi nắm 53 hộp kẹo. Tôi mang thêm 44 hộp kẹo nữa. Hỏi Tôi có bao nhiêu hộp kẹo?,increase
Trung cầm 81 hộp bút vàng. Lan cầm 41 hộp bút vàng. Trung nhặt 47 hộp bút vàng từ Lan. Hỏi mỗi người có bao nhiêu hộp bút vàng?,change_in
Bạn nắm 38 cái lắc tay. Bạn bỏ ra 35 cái lắc tay. Hỏi Bạn còn bao nhiêu cái lắc tay?,decrease
Bố sở hữu 8 cái vòng. Vy sở hữu 36 cái vòng. Bố gửi 2 cái vòng cho Vy. Hỏi mỗi người có bao nhiêu cái vòng?,change_out
Tuấn có 90 cái xe đỏ. Tuấn gửi đi 18 cái xe đỏ. Hỏi Tuấn còn bao nhiêu cái xe đỏ?,decrease
Vũ giữ 32 hộp bút vàng. Xuân giữ 62 hộp bút vàng. Vũ nhận 7 hộp bút vàng từ Xuân. Hỏi mỗi người có bao nhiêu hộp bút vàng?,change_in
Tuấn cầm 54 quả táo. Chị cầm 45 quả táo. Tuấn ném 9 quả táo cho Chị. Hỏi mỗi người có bao nhiêu quả táo?,change_out
An nắm 30 cái quần trắng. Vũ nắm 13 cái quần trắng. An nhận 91 cái quần trắng từ Vũ. Hỏi mỗi người có bao nhiêu cái quần trắng?,change_in
Tôi cầm 45 cây gậy. Bố cầm 37 cây gậy. Tôi ném 13 cây gậy cho Bố. Hỏi mỗi người có bao nhiêu cây gậy?,change_out
Phụng sở hữu 10 quả lê. Nga sở hữu 41 quả lê. Hỏi Phụng và Nga có tất cả bao nhiêu quả lê?,combine
Tuấn giữ 33 quả táo. Tuấn ăn mất 19 quả táo. Hỏi Tuấn còn bao nhiêu quả táo?,decrease
Bạn cầm 92 viên bi. Bạn ăn mất 39 viên bi. Hỏi Bạn còn bao nhiêu viên bi?,decrease
Tôi cầm 93 viên bi. Anh cầm 87 viên bi. Tôi phân phát 56 viên bi cho Anh. Hỏi mỗi người có bao nhiêu viên bi?,change_out
Mẹ cầm 50 viên bi. Chị cầm 34 viên bi. Hỏi Mẹ và Chị có tổng cộng bao nhiêu viên bi?,combine
Thầy cầm 13 viên bi. Hiếu cầm 47 viên bi. Hỏi Thầy và Hiếu có tất cả bao nhiêu viên bi?,combine
Con giữ 97 cây thước. Con có thêm 64 cây thước nữa. Hỏi Con có bao nhiêu cây thước?,increase
Phụng cầm 42 trái bóng. Phụng nhặt được 86 trái bóng nữa. Hỏi Phụng có bao nhiêu trái bóng?,increase
Long nắm 30 quả táo. Long tìm thấy 67 quả táo nữa. Hỏi Long có bao nhiêu quả táo?,increase
Xuân sở hữu 22 cái quần trắng. Tôi sở hữu 57 cái quần trắng. Xuân nhặt 21 cái quần trắng từ Tôi. Hỏi mỗi người có bao nhiêu cái quần trắng?,change_in
Hiếu có 5 cây thước. Hiếu sử dụng 5 cây thước. Hỏi Hiếu còn bao nhiêu cây thước?,decrease
Mẹ giữ 43 viên bi. Tôi giữ 52 viên bi. Mẹ tặng 9 viên bi cho Tôi. Hỏi mỗi người có bao nhiêu viên bi?,change_out
Nga có 95 cái lắc tay. Tôi có 58 cái lắc tay. Nga cầm 46 cái lắc tay từ Tôi. Hỏi mỗi người có bao nhiêu cái lắc tay?,change_in
Lan sở hữu 76 cái gối ôm. Lan ăn mất 31 cái gối ôm. Hỏi Lan còn bao nhiêu cái gối ôm?,decrease
Bạn cầm 52 cái quần trắng. Bạn tìm thấy 32 cái quần trắng nữa. Hỏi Bạn có bao nhiêu cái quần trắng?,increase
Trung cầm 17 quả mận. Long cầm 43 quả mận. Hỏi Trung và Long có cùng nhau bao nhiêu quả mận?,combine
Trung có 88 cái quần trắng. Mẹ có 19 cái quần trắng. Trung tặng 1 cái quần trắng cho Mẹ. Hỏi mỗi người có bao nhiêu cái quần trắng?,change_out
Bố có 45 dây tai nghe. Lan có 24 dây tai nghe. Bố ném 3 dây tai nghe cho Lan. Hỏi mỗi người có bao nhiêu dây tai nghe?,change_out
Lan sở hữu 84 cái kẹo. Quân sở hữu 56 cái kẹo. Hỏi Lan và Quân có cùng nhau bao nhiêu cái kẹo?,combine
Chị giữ 87 quyển truyện. Chị ném đi 42 quyển truyện. Hỏi Chị còn bao nhiêu quyển truyện?,decrease
Tuấn cầm 16 cái bánh. Tuấn có thêm 44 cái bánh nữa. Hỏi Tuấn có bao nhiêu cái bánh?,increase
Quân sở hữu 61 chiếc khăn phiêu. Quân ăn mất 2 chiếc khăn phiêu. Hỏi Quân còn bao nhiêu chiếc khăn phiêu?,decrease
Lan nắm 78 quyển truyện. Vũ nắm 39 quyển truyện. Hỏi Lan và Vũ có tất cả bao nhiêu quyển truyện?,combine
Nga cầm 70 quyển truyện. Mẹ cầm 100 quyển truyện. Hỏi Nga và Mẹ có tất cả bao nhiêu quyển truyện?,combine
Con cầm 80 quả cam. Tôi cầm 75 quả cam. Con giữ 88 quả cam từ Tôi. Hỏi mỗi người có bao nhiêu quả cam?,change_in
Bố nắm 1 quả lê. Con nắm 45 quả lê. Bố giữ 93 quả lê từ Con. Hỏi mỗi người có bao nhiêu quả lê?,change_in
Long cầm 53 cây gậy. Tôi cầm 33 cây gậy. Long nhận 34 cây gậy từ Tôi. Hỏi mỗi người có bao nhiêu cây gậy?,change_in
Bạn có 66 trái bóng. Bạn mua thêm 39 trái bóng nữa. Hỏi Bạn có bao nhiêu trái bóng?,increase
Trung sở hữu 81 quyển sách. Trung nhận thêm 29 quyển sách nữa. Hỏi Trung có bao nhiêu quyển sách?,increase
Con cầm 73 quả táo. Con đặt xuống 20 quả táo. Hỏi Con còn bao nhiêu quả táo?,decrease
Mẹ cầm 44 viên bi. Chị cầm 58 viên bi. Mẹ mua 17 viên bi từ Chị. Hỏi mỗi người có bao nhiêu viên bi?,change_in
Tôi giữ 20 hộp bút vàng. Chị giữ 75 hộp bút vàng. Tôi gửi 7 hộp bút vàng cho Chị. Hỏi mỗi người có bao nhiêu hộp bút vàng?,change_out
Con có 94 chiếc khăn phiêu. Nga có 72 chiếc khăn phiêu. Con phân phát 70 chiếc khăn phiêu cho Nga. Hỏi mỗi người có bao nhiêu chiếc khăn phiêu?,change_out
Lan sở hữu 10 dây tai nghe. Hà sở hữu 34 dây tai nghe. Lan bán 7 dây tai nghe cho Hà. Hỏi mỗi người có bao nhiêu dây tai nghe?,change_out
Long có 4 quả lê. Long mua thêm 14 quả lê nữa. Hỏi Long có bao nhiêu quả lê?,increase
Anh giữ 81 dây tai nghe. Quân giữ 47 dây tai nghe. Anh lấy 66 dây tai nghe từ Quân. Hỏi mỗi người có bao nhiêu dây tai nghe?,change_in
Anh có 80 cây viết. Bố có 60 cây viết. Hỏi Anh và Bố có cùng nhau bao nhiêu cây viết?,combine
Tuấn cầm 38 cây viết. Vũ cầm 21 cây viết. Tuấn giữ 99 cây viết từ Vũ. Hỏi mỗi người có bao nhiêu cây viết?,change_in
Trung giữ 77 cái khẩu trang. Trung bỏ ra 60 cái khẩu trang. Hỏi Trung còn bao nhiêu cái khẩu trang?,decrease
Nga cầm 24 cây viết. Nga tìm được 20 cây viết nữa. Hỏi Nga có bao nhiêu cây viết?,increase
Bố cầm 66 quả chuối. Bố tìm thấy 10 quả chuối nữa. Hỏi Bố có bao nhiêu quả chuối?,increase
Vũ cầm 80 cái kẹo. Vũ ăn mất 1 cái kẹo. Hỏi Vũ còn bao nhiêu cái kẹo?,decrease
Vũ có 79 cái khẩu trang. Thầy có 39 cái khẩu trang. Hỏi Vũ và Thầy có tổng cộng bao nhiêu cái khẩu trang?,combine
Anh có 59 cái xe đỏ. Bạn có 9 cái xe đỏ. Anh bán 8 cái xe đỏ cho Bạn. Hỏi mỗi người có bao nhiêu cái xe đỏ?,change_out
Tôi cầm 71 quả táo. Nga cầm 4 quả táo. Tôi giữ 63 quả táo từ Nga. Hỏi mỗi người có bao nhiêu quả táo?,change_in
Tôi giữ 88 cái gối ôm. Hiếu giữ 20 cái gối ôm. Tôi nhận 86 cái gối ôm từ Hiếu. Hỏi mỗi người có bao nhiêu cái gối ôm?,change_in
Vũ cầm 8 quả chuối. Hiếu cầm 26 quả chuối. Hỏi Vũ và Hiếu có cùng nhau bao nhiêu quả chuối?,combine
Tuấn cầm 65 cái kẹo. Tuấn mua thêm 60 cái kẹo nữa. Hỏi Tuấn có bao nhiêu cái kẹo?,increase
Vũ nắm 10 cái lắc tay. Vũ ăn mất 10 cái lắc tay. Hỏi Vũ còn bao nhiêu cái lắc tay?,decrease
